,Commodity,Variety,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,(#) increase in MSP 2023-24 over 2022-23
0,PADDY,Common,1000.0,1080.0,1250.0,1310.0,1360.0,1410,1470,1550,1750,1815,1868,1940,2040.0,2183.0,143(7.0)
1,PADDY,Grade 'A',1030.0,1110.0,1280.0,1345.0,1400.0,1450,1510,1590,1770,1835,1888,1960,2060.0,2203.0,143(6.9)
2,JOWAR,Hybrid,880.0,980.0,1500.0,1500.0,1530.0,1570,1625,1700,2430,2550,2620,2738,2970.0,3180.0,210(7.1)
3,JOWAR,Maldandi,900.0,1000.0,1520.0,1520.0,1550.0,1590,1650,1725,2450,2570,2640,2758,2990.0,3225.0,235(7.9)
4,BAJRA,-,880.0,980.0,1175.0,1250.0,1250.0,1275,1330,1425,1950,2000,2150,2250,2350.0,2500.0,150(6.4)
5,MAIZE,-,880.0,980.0,1175.0,1310.0,1310.0,1325,1365,1425,1700,1760,1850,1870,1962.0,2090.0,128(6.5)
6,RAGI,-,965.0,1050.0,1500.0,1500.0,1550.0,1650,1725,1900,2897,3150,3295,3377,3578.0,3846.0,268(7.5)
7,Tur (Arhar),-,3000.0,3200.0,3850.0,4300.0,4350.0,4625^,5050^^,5450^,5675,5800,6000,6300,6600.0,7000.0,400(6.1)
8,MOONG,-,3170.0,3500.0,4400.0,4500.0,4600.0,4850^,5225^^,5575^,6975,7050,7196,7275,7755.0,8558.0,803(10.4)
9,URAD,-,2900.0,3300.0,4300.0,4300.0,4350.0,4625^,5000^^,5400^,5600,5700,6000,6300,6600.0,6950.0,350(5.3)
10,COTTON,Medium Staple,2500.0,2800.0,3600.0,3700.0,3750.0,3800,3860,4020,5150,5255,5515,5726,6080.0,6620.0,540(8.9)
11,COTTON,Long Staple,3000.0,3300.0,3900.0,4000.0,4050.0,4100,4160,4320,5450,5550,5825,6025,6380.0,7020.0,640(10.0)
12,Groundnut,-,2300.0,2700.0,3700.0,4000.0,4000.0,4030,4220*,4450^,4890,5090,5275,5550,5850.0,6377.0,527(9.0)
13,SUNFLOWER SEED,-,2350.0,2800.0,3700.0,3700.0,3750.0,3800,3950*,4100*,5388,5650,5885,6015,6400.0,6760.0,360(5.6)
14,SOYABEAN,Black,1400.0,1650.0,2200.0,2500.0,2500.0,-,-,-,-,-,-,-,-,-,-
15,-,Yellow$$,1440.0,1690.0,2240.0,2560.0,2560.0,2600,2775*,3050^,3399,3710,3880,3950,4300.0,4600.0,300(7.0)
16,SESAMUM,-,2900.0,3400.0,4200.0,4500.0,4600.0,4700,5000^,5300*,6249,6485,6855,7307,7830.0,8635.0,805(10.3)
17,NIGERSEED,-,2450.0,2900.0,3500.0,3500.0,3600.0,3650,3825*,4050*,5877,5940,6695,6930,7287.0,7734.0,447(6.1)
18,RABICROPS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,WHEAT,-,1120.0,1285.0,1350.0,1400.0,1450.0,1525,1625,1735,1840,1925,1975,2015,2125.0,2275.0,150 (7.1)
20,BARLEY,-,780.0,980.0,980.0,1100.0,1150.0,1225,1325,1410,1440,1525,1600,1635,1735.0,1850.0,115 (6.6)
21,GRAM,-,2100.0,2800.0,3000.0,3100.0,3175.0,3500**,4000^,4400!,4620,4875,5100,5230,5335.0,5440.0,105 (2.0)
22,MASUR (LENTIL),-,2250.0,2800.0,2900.0,2950.0,3075.0,3400**,3950!,4250*,4475,4800,5100,5500,6000.0,6425.0,425 (7.1)
23,Rapeseed & Mustard,-,1850.0,2500.0,3000.0,3050.0,3100.0,3350,3700*,4000*,4200,4425,4650,5050,5450.0,5650.0,200 (3.7)
24,SAFFLOWER,-,1800.0,2500.0,2800.0,3000.0,3050.0,3300,3700*,4100,4945,5215,5327,5441,5650.0,5800.0,150 (2.7)
25,TORIA,-,1780.0,2425.0,2970.0,3020.0,3020.0,3290,3560,3900,4190,4425,4650,5050,5450.0,-,-
27,COPRA,Milling,4450.0,4525.0,5100.0,5250.0,5250.0,5550,5950,6500,7511,9521,9960,10335,10590.0,10860.0,270(2.55)
28,(Calender Year),Ball,4700.0,4775.0,5350.0,5500.0,5500.0,5830,6240,6785,7750,9920,10300,10600,11000.0,11750.0,750(6.82)
29,DE-HUSKED COCONUT Calender Year),-,1200.0,1200.0,1400.0,1425.0,1425.0,1500,1600,1760,2030,2571,2700,2800,2860.0,2930.0,70(2.45)
30,JUTE,-,1575.0,1675.0,2200.0,2300.0,2400.0,2700,3200,3500,3700,3950,4225,4500,4750.0,5050.0,300(6.31)
